CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Indonesia,0.0001,0.0002,0.0004,0.0008,0.0017,0.0033,0.0063,0.0107,0.0167,0.0247,0.0357,0.0527,0.0803,0.1157,0.1524,0.1895,0.2274,0.2654,0.3008,0.3344,0.3656,0.3938,0.419,0.4419,0.4626,0.4825
Iran,0.0088,0.0098,0.0107,0.0115,0.0127,0.015,0.0198,0.0296,0.0412,0.0513,0.061,0.07,0.0779,0.0845,0.0901,0.0951,0.1001,0.1048,0.1095,0.1137,0.1174,0.1212,0.1251,0.1288,0.1325,0.1359
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0.0002,0.0007,0.003,0.0124,0.0441,0.111,0.1803,0.2241,0.2488,0.2642,0.2757,0.2851,0.2938,0.3024,0.3113,0.3205,0.3293,0.3375,0.3452,0.3523,0.3589,0.3649,0.3701,0.3746
Jamaica,0.9385,1.2,1.46,1.7,1.89,2.03,2.13,2.2,2.24,2.26,2.24,2.21,2.16,2.1,2.03,1.97,1.92,1.87,1.82,1.78,1.74,1.71,1.68,1.66,1.64,1.63
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0.0027,0.0037,0.005,0.007,0.0097,0.0133,0.0179,0.0237,0.0306,0.0379,0.0454,0.0527,0.0597,0.0661,0.0721,0.0782,0.0847,0.0919,0.0999,0.1096,0.1202,0.1326,0.1471,0.1642,0.1848,0.2099
Kenya,6.44491,7.98277,9.50129,10.8555,11.9152,12.5913,12.8487,12.7055,12.2413,11.5561,10.7399,9.88989,9.04877,8.26742,7.5709,7.01103,6.59973,6.36352,6.20249,6.11867,6.0654,6.03933,6.02772,6.00444,5.96415,5.90975
Kyrgyzstan,0.002,0.0027,0.0036,0.0048,0.0065,0.0085,0.0112,0.0145,0.0187,0.0238,0.0302,0.0379,0.0471,0.0581,0.0706,0.0849,0.1005,0.117,0.1338,0.1499,0.1645,0.1773,0.188,0.1964,0.206,0.2194
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0.0666,0.1192,0.1932,0.266,0.3177,0.3554,0.3877,0.417,0.4432,0.4662,0.4861,0.5036,0.5184,0.531,0.5426,0.5533,0.5637,0.5751,0.5889,0.6023,0.6162,0.6294,0.6423,0.6543,0.6648,0.6734
Lebanon,0.0351,0.0382,0.0409,0.0433,0.0454,0.0471,0.0484,0.0495,0.0503,0.0511,0.0519,0.0529,0.0538,0.0546,0.0554,0.0561,0.0568,0.0575,0.0582,0.0589,0.0593,0.0593,0.0592,0.0594,0.0599,0.0607
Lesotho,2.58,3.57,4.94,6.76,9.04,11.46,13.69,15.61,17.3,18.74,19.93,20.93,21.69,22.23,22.59,22.82,22.96,23.09,23.19,23.16,23.11,23.07,23,22.93,22.84,22.73
Liberia,0.6919,0.9067,1.14,1.38,1.61,1.82,2.03,2.21,2.35,2.43,2.46,2.46,2.41,2.32,2.21,2.07,1.93,1.79,1.66,1.54,1.43,1.34,1.27,1.2,1.14,1.09
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
